Combo_ID,LEN
608103,24.0
608112,24.0
608125,75.0
608209,25.0
608242,74.0
608286,21.0
608293,34.0
608296,38.0
608304,37.0
608313,34.0
608358,24.0
608368,26.0
608371,22.0
608376,27.0
608377,23.0
608384,23.0
608396,81.0
608402,27.0
608411,27.0
608413,26.0
608419,26.0
608430,29.0
608436,25.0
608452,17.0
608535,20.0
608591,18.0
608612,19.0
608647,19.0
608792,19.0
608799,21.0
608800,20.0
608807,21.0
608906,21.0
608916,25.0
609041,22.0
609188,18.0
609267,47.0
609429,18.0
609473,71.0
609483,29.0
609618,20.0
609654,22.0
609664,18.0
609725,28.0
609766,22.0
609816,21.0
609851,21.0
609883,19.0
609892,21.0
610098,22.0
610105,18.0
610120,24.0
610123,22.0
610125,24.0
610130,23.0
610215,19.0
610232,69.0
610320,23.0
610414,22.0
610435,25.0
610459,19.0
610466,20.0
610478,15.0
610506,24.0
610515,25.0
610524,72.0
610533,104.0
610544,39.0
610557,24.0
610699,24.0
610703,22.0
610730,79.0
610756,42.0
610757,23.0
610898,78.0
610996,16.0
611018,22.0
611027,38.0
611078,18.0
611129,21.0
611131,21.0
611218,76.0
611361,22.0
611373,44.0
611577,21.0
611586,21.0
611613,23.0
611623,21.0
611625,21.0
611717,22.0
611789,18.0
611808,23.0
611849,19.0
611862,23.0
611903,22.0
611915,18.0
611941,22.0
611966,20.0
612020,22.0
612035,19.0
612055,17.0
612109,20.0
612176,23.0
612214,28.0
612238,19.0
612290,24.0
612329,23.0
612330,23.0
612420,20.0
612492,22.0
612522,20.0
612530,18.0
612550,24.0
612565,21.0
612571,22.0
612602,24.0
612633,22.0
612658,17.0
612659,81.0
612663,25.0
612679,23.0
612682,18.0
612687,17.0
612691,20.0
612706,22.0
612790,21.0
612897,45.0
612953,23.0
612957,23.0
612958,23.0
612965,23.0
612994,22.0
613001,20.0
613003,23.0
613016,22.0
613020,44.0
613023,22.0
613024,72.0
613025,68.0
613028,24.0
613029,24.0
613042,20.0
613045,29.0
613116,22.0
613119,24.0
613120,25.0
613162,22.0
613297,20.0
613339,23.0
613376,17.0
613528,18.0
613532,22.0
613581,18.0
613852,22.0
613853,63.0
613860,63.0
613867,32.0
613868,62.0
613870,17.0
613880,19.0
613888,24.0
613932,24.0
613951,22.0
613969,19.0
613985,20.0
614002,21.0
614010,20.0
614028,23.0
614032,23.0
614181,24.0
614220,22.0
614238,71.0
614257,82.0
614259,22.0
614282,22.0
614389,42.0
614409,21.0
614444,21.0
614445,21.0
614479,25.0
