index,CAP,No_CAP,SW,GW,Mix
1965,174.48768302877676,148.27338641188953,147.1935041802981,150.99914967357785,114.27087171052632
1966,195.82079676874858,168.91208888888886,138.9624043778802,175.72964811746778,139.24820143884895
1967,186.77249728224942,149.35340214067284,142.03731225296443,148.2651109906397,109.10035612535613
1968,164.96294350099387,129.22200310559015,112.1463182346109,139.82349980033942,102.70645569620254
1969,190.82953298087858,148.84952586206896,135.64174242424244,153.65397915183163,117.31935606060607
1970,96.94277209914017,96.21042444637426,40.369790657224506,86.26513720243456,42.436300276327906
1971,198.50064840088226,158.25738439306357,166.6614202898551,173.97274682443165,142.1887413793104
1972,200.19651852402924,147.12452008928568,105.75846405228756,154.00686012745024,116.4072311827957
1973,186.4616358010966,158.99990701001437,138.31463658388853,150.00406311111104,117.24624750499002
1974,193.04536639903324,132.64411392405063,114.70371384615385,156.193782228361,123.85716374269006
1975,190.47329719324378,148.71084602368865,103.55031774580335,171.2013269015661,128.05172087585032
1976,181.11123738450607,153.93317351598176,125.84426819923372,147.71003773093935,109.47738571428572
1977,191.66581690795982,142.38223183391,109.08763205828778,146.81349434532243,93.04468672456576
1978,187.7740874655648,146.57908506429274,104.66420693277313,148.74103457811023,99.13044028468364
1979,183.2315664483064,138.92316570708888,107.25717589334583,136.57860061812275,108.95120209539564
1980,183.16166935239553,147.60520142180096,113.97443243243248,153.25133343400788,106.17694156804735
1981,192.67319554700563,156.76923356510747,128.7932604651163,154.7024299332691,127.21574297188751
1982,196.14385247597338,182.53681451612894,144.9240791476408,166.39590019459717,127.79300291545185
1983,205.65312997848716,165.5412536443149,133.59366906474824,171.34625426136373,142.09577857142858
1984,231.224521818433,201.2026883561645,175.47909531520213,198.00345992174013,125.0669199629886
1985,207.59287284756206,175.98878406708587,115.70608584840129,177.2131140477048,142.85092357586012
1986,191.0420244005102,180.8538307291666,156.1502868841264,163.15445474439218,93.49091952324663
1987,158.88792125265277,160.99809695409698,130.0915414517455,152.59910776656406,101.05323477448476
1988,197.42139544827626,193.9369395424838,154.802523014023,192.4832196524889,106.70508245498459
1989,179.45708511823833,185.18833543240973,115.49182908822443,175.23859721413703,104.28417525773193
1990,161.8579436860423,171.93447575136608,117.53148825654922,167.64553472151727,103.56713921654281
1991,168.01174862112768,213.87683372183378,117.63106442901224,186.87048431806096,128.41553580246915
1992,145.316674891775,169.3953194444444,98.08342801556422,153.33604436748965,100.6383009708738
1993,175.33770165340212,191.0636606060607,119.02958194930078,179.3652514391805,120.62090688504696
1994,171.17701506976584,192.40656346749213,107.62258217592593,170.16529681180103,137.94686568520538
1995,164.08108893154633,148.07794355995415,104.03726130803199,165.1497310955565,134.0298938923395
1996,168.56027036820848,149.85008587786263,100.38994598765431,162.61882241272514,121.26087761069338
1997,200.6054318352181,199.76847168597163,141.68772662889515,199.09236349596563,180.81289198606265
1998,223.14317431158827,197.5061301960786,139.1531874316939,204.40389080881252,135.6561497416534
1999,207.41449425054097,221.14324800910143,100.02678084935899,199.6258046005471,150.70546447028423
2000,224.21758884132643,210.8434828244276,101.41671651580741,207.53235128672733,123.8574781523096
2001,230.27741542468112,209.2535943983403,129.94435457516346,213.7619914487603,191.53522867063478
2002,226.83815480922638,277.5145651164951,138.56003472222224,201.25876549440682,176.93622058823524
2003,231.44284881152964,232.49199598021028,166.35450854700855,216.10723108870718,186.95110677083332
2004,224.20852017364678,231.56652728351136,137.83989388264672,207.14770905707206,149.7450242718447
2005,227.88223210991745,216.79540677966122,135.74605952380952,212.0844957584968,195.81643740902464
2006,217.9228916041429,247.63714719029375,132.68488470728798,231.42154809374895,169.19716960352423
2007,215.97303147292445,233.23072016011662,121.74471713615023,220.4443439937366,175.970707219878
2008,194.8123184596874,194.64643779677124,110.45005307855627,198.29326845467926,144.9132297101449
2009,218.31576638593927,222.63749103942646,166.4690998427673,204.74371472533247,169.84796791443839
2010,208.52645200283592,233.83313348416291,144.5549725274725,216.78919407290846,173.81828231292525
2011,221.6307556768077,260.92764492753633,162.16106060606052,213.87338997387982,184.65149449035815
2012,210.37747801576535,253.1666939252336,150.10969348659003,217.91180746456592,172.30885014005602
2013,223.24365895629086,244.81583135669362,165.93109980620156,230.21487674817666,202.19736220472433
2014,197.9094072705709,258.58472126436783,174.75564761904766,238.84031518817187,204.23734543010755
2015,204.4511659997948,240.84214364035088,179.71998407643312,222.294934064141,244.65765840220382
2016,213.1687429807605,252.27243846153831,186.0514499036608,236.50373311659854,188.3955021367521
2017,224.7089182619265,248.85157762032426,200.5666484374999,214.52119557129924,160.4509232434232
2018,230.25629672870483,263.2261261904762,201.33012362637353,242.9294488235942,198.62797425997425
2019,220.5701429166792,257.1031861625801,188.9968432671082,242.02064513588755,184.1914740867766
2020,195.9842948134668,262.66155555555554,168.97727272727272,213.7699837398372,180.42385964912282
